machine_id,t,vibration,temperature,current,failure_soon
0,0,1.667,63.831,11.135,0
0,1,1.78,63.833,11.048,0
0,2,1.704,66.285,10.444,0
0,3,1.569,65.736,10.85,0
0,4,1.722,66.558,10.627,0
0,5,1.471,65.105,10.816,0
0,6,1.68,64.057,10.21,0
0,7,1.654,66.261,10.916,0
0,8,1.708,65.152,10.32,0
0,9,1.587,63.679,10.294,0
0,10,1.672,65.912,10.825,0
0,11,1.754,65.036,10.844,0
0,12,1.747,65.24,10.74,0
0,13,1.693,65.221,10.323,0
0,14,1.584,65.544,10.629,0
0,15,1.674,66.055,11.194,0
0,16,2.036,65.781,10.314,0
0,17,1.52,65.536,10.796,0
0,18,1.593,65.437,10.196,0
0,19,1.679,64.556,10.893,0
0,20,1.453,64.646,10.312,0
0,21,1.773,65.55,10.305,0
0,22,1.605,66.225,10.545,0
0,23,1.728,64.77,10.442,0
0,24,1.567,65.975,10.649,0
0,25,1.833,66.736,10.827,0
0,26,1.689,65.95,10.653,0
0,27,1.921,64.866,10.836,0
0,28,2.021,65.33,10.762,0
0,29,1.696,64.274,10.887,0
0,30,1.77,63.464,10.595,0
0,31,1.63,65.436,10.418,0
0,32,1.683,65.58,10.82,0
0,33,1.631,64.962,10.501,0
0,34,1.732,64.564,10.151,0
0,35,1.907,64.263,10.714,0
0,36,1.64,64.502,10.248,0
0,37,1.765,65.565,10.132,0
0,38,1.719,64.898,10.605,0
0,39,1.836,63.869,11.129,0
0,40,1.634,64.296,10.452,0
0,41,1.356,67.15,10.214,0
0,42,1.693,63.736,10.512,0
0,43,1.499,64.589,11.08,0
0,44,1.546,65.383,10.46,0
0,45,1.573,65.353,10.744,0
0,46,1.5,65.722,10.478,0
0,47,1.68,64.787,10.323,0
0,48,1.886,64.548,10.824,0
0,49,1.722,64.079,10.5,0
0,50,1.639,66.048,10.693,0
0,51,1.709,64.539,10.668,0
0,52,1.518,65.711,11.088,0
0,53,1.353,63.874,11.032,0
0,54,1.543,65.099,10.384,0
0,55,1.714,65.106,10.628,0
0,56,1.853,66.704,10.848,0
0,57,1.771,64.272,10.555,0
0,58,1.698,65.342,10.59,0
0,59,1.676,65.894,10.812,0
0,60,1.837,64.326,10.352,0
